title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Untitled,1964-1965,oil on canvas,2002.19,Joseph Soffer Family Trust Fund,6/6/02,Contemporary Art,"Gallery 13, Scaife Galleries",60.5,48.25,2.25,0,"(Daniel Weinberg Gallery), Santa Monica, CA; Museum purchase, 2002.

TBF 10/30/14",paintings,Person,"Baer, Jo",,American,1/1/29,,"Seattle (King County, Washington, United States)",
Jug,  1870,terracotta with underglaze decoration,2002.21.1.1,Women's Committee Acquisition Fund,6/6/02,Decorative Arts and Design,"Gallery 7, Scaife Galleries",5.25,8.75,5.438,0,"Paul Reeves, London, England",Ceramics,Person|Organization,"Dresser, Christopher|Watcombe Pottery",designer|manufacturer,British,1834-01-01|1867-01-01,1904-01-01|,Glasgow|,|
Jug,  1880,salt-glazed stoneware,2002.21.1.2,Women's Committee Acquisition Fund,6/6/02,Decorative Arts and Design,"Gallery 7, Scaife Galleries",3.688,6.625,7,0,"Paul Reeves, London, England",Ceramics,Person|Organization,"Dresser, Christopher|Brownfield, W. & Sons",designer|manufacturer,British,1834-01-01|1871-01-01,1904-01-01|1891-01-01,Glasgow|,|
Jug,1885,transfer-printed earthenware,2002.21.1.3.2,Women's Committee Acquisition Fund,6/6/02,Decorative Arts and Design,"Gallery 7, Scaife Galleries",4.375,6.75,5.75,0,"Paul Reeves, London, England",Ceramics,Person|Organization,"Dresser, Christopher|Old Hall Earthenware Company Limited",designer|manufacturer,British,1834-01-01|1861-01-01,1904-01-01|1886-01-01,Glasgow|,|
Jug,1885,transfer-printed earthenware,2002.21.1.3.3,Women's Committee Acquisition Fund,6/6/02,Decorative Arts and Design,"Gallery 7, Scaife Galleries",3.938,6.5,5.375,0,"Paul Reeves, London, England",Ceramics,Person|Organization,"Dresser, Christopher|Old Hall Earthenware Company Limited",designer|manufacturer,British,1834-01-01|1861-01-01,1904-01-01|1886-01-01,Glasgow|,|
Green Jacket,1989,oil on canvas,2001.62,Gift of the artist,12/6/01,Contemporary Art,"Gallery 15, Scaife Galleries",48,71.5,2,0,"Gift of Alex Katz, 2001. 

TBF 10/31/14",paintings,Person,"Katz, Alex",,American,1/1/27,,"Brooklyn (New York City, New York State, United States)",
D'mba (Headdress),1900-1999,wood and metal,2002.28,Gift of Mr. and Mrs. William Roemer,6/6/02,Decorative Arts and Design,African Art Gallery,12.5,29,22,0,"Mr. and Mrs. William Roemer, Sewickley, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, June 2002.",Wood,Person,"unknown Guinean, Baga culture",,Guinean,,,,
Utopia,2002,"wood, polystyrene, cement, acrylic, wheels, porcelain figurine, and pyrite",2002.37,Oxford Development Fund,10/3/02,Contemporary Art,"Gallery 16, Scaife Galleries",40,80,38.5,0,"Greene Naftali Gallery, New York",sculpture,Person,"Harrison, Rachel",,American,1/1/66,,"New York City, NY",
Driftwood,2001-2002,oil on canvas,2002.34,The Henry L. Hillman Fund,10/3/02,Contemporary Art,"Gallery 17, Scaife Galleries",78.75,129.875,2,0,,paintings,Person,"Doig, Peter",,Scottish,1/1/59,,"Edinburgh, Scotland",
Knotted Chair,1996,"gilt aramid rope, carbon core, and epoxy",2002.42,Martha Mack Lewis Fund,10/3/02,Decorative Arts and Design,"Gallery 18, Bruce Galleries",21,28.5,23.75,0,"Phillips, dePury & Luxembourg, New York",furniture,Person|Organization|Organization,"Wanders, Marcel|Droog Design|Cappellini S.p.A.",designer|design collaborative|manufacturer,Dutch|Dutch|Italian,1963-01-01|1993-01-01|1946-01-01,||,||,||
